nameWithOwner,stargazerCount,forkCount,url,createdAt,releaseCount
zfile-dev/zfile,9935,1870,https://github.com/zfile-dev/zfile,2019-08-19T13:57:56Z,
wasabeef/glide-transformations,9921,1407,https://github.com/wasabeef/glide-transformations,2015-01-09T10:33:29Z,
awsdocs/aws-doc-sdk-examples,9891,5738,https://github.com/awsdocs/aws-doc-sdk-examples,2016-08-18T19:06:57Z,
googlesamples/easypermissions,9889,1457,https://github.com/googlesamples/easypermissions,2015-12-22T18:05:53Z,
paascloud/paascloud-master,9877,4303,https://github.com/paascloud/paascloud-master,2018-03-17T05:40:43Z,
ssssssss-team/spider-flow,9866,1906,https://github.com/ssssssss-team/spider-flow,2020-03-27T11:07:15Z,
stanfordnlp/CoreNLP,9825,2712,https://github.com/stanfordnlp/CoreNLP,2013-06-27T21:13:49Z,
uknownothingsnow/JsBridge,9823,2021,https://github.com/uknownothingsnow/JsBridge,2015-02-26T12:10:58Z,
hackware1993/MagicIndicator,9766,1552,https://github.com/hackware1993/MagicIndicator,2016-06-26T08:20:43Z,
HarlonWang/AVLoadingIndicatorView,9754,1891,https://github.com/HarlonWang/AVLoadingIndicatorView,2015-10-24T20:18:33Z,
YoKeyword/Fragmentation,9726,2113,https://github.com/YoKeyword/Fragmentation,2016-02-23T08:54:55Z,
StarRocks/starrocks,9713,1941,https://github.com/StarRocks/starrocks,2021-09-04T02:29:35Z,
perwendel/spark,9653,1567,https://github.com/perwendel/spark,2011-05-05T11:52:05Z,
ksoichiro/Android-ObservableScrollView,9653,2060,https://github.com/ksoichiro/Android-ObservableScrollView,2014-11-08T14:45:20Z,
react-native-camera/react-native-camera,9649,3538,https://github.com/react-native-camera/react-native-camera,2015-04-01T00:54:40Z,
lihengming/spring-boot-api-project-seed,9628,3785,https://github.com/lihengming/spring-boot-api-project-seed,2017-06-23T10:06:30Z,
OpenFeign/feign,9618,1939,https://github.com/OpenFeign/feign,2013-06-26T23:28:16Z,
microg/GmsCore,9592,1845,https://github.com/microg/GmsCore,2014-04-23T19:28:47Z,
liaohuqiu/android-Ultra-Pull-To-Refresh,9580,2650,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,2014-11-13T03:13:10Z,
koral--/android-gif-drawable,9579,1782,https://github.com/koral--/android-gif-drawable,2013-01-30T01:37:46Z,
bilibili/DanmakuFlameMaster,9568,2112,https://github.com/bilibili/DanmakuFlameMaster,2013-08-11T12:18:50Z,
MyCATApache/Mycat-Server,9546,3848,https://github.com/MyCATApache/Mycat-Server,2014-12-04T02:46:54Z,
umano/AndroidSlidingUpPanel,9509,2262,https://github.com/umano/AndroidSlidingUpPanel,2013-05-31T18:33:53Z,
signalapp/Signal-Server,9438,2218,https://github.com/signalapp/Signal-Server,2013-12-09T07:10:36Z,
SonarSource/sonarqube,9422,2056,https://github.com/SonarSource/sonarqube,2011-01-05T11:05:17Z,
pockethub/PocketHub,9388,3449,https://github.com/pockethub/PocketHub,2011-09-08T16:52:50Z,
crossoverJie/cim,9385,2862,https://github.com/crossoverJie/cim,2018-05-20T15:55:56Z,
Justson/AgentWeb,9303,1647,https://github.com/Justson/AgentWeb,2017-05-12T07:45:56Z,
xuchengsheng/spring-reading,9296,1154,https://github.com/xuchengsheng/spring-reading,2023-09-15T06:42:44Z,
android/testing-samples,9244,3636,https://github.com/android/testing-samples,2014-10-11T03:51:27Z,
GcsSloop/AndroidNote,9232,2141,https://github.com/GcsSloop/AndroidNote,2016-01-04T23:51:36Z,
